[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/logging/config.py first seen with mtime 1573123442.0
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/email/iterators.py first seen with mtime 1573123442.0
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/wagtail/admin/viewsets/base.py first seen with mtime 1581874243.5489154
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/views/generic/__init__.py first seen with mtime 1585102509.3511138
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/chardet/jpcntx.py first seen with mtime 1581874246.2487528
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/wagtail/admin/compare.py first seen with mtime 1581874243.524917
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/taggit/admin.py first seen with mtime 1581874245.544795
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/sqlite3/__init__.py first seen with mtime 1573123442.0
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/db/models/sql/query.py first seen with mtime 1585102509.3271136
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/template/defaultfilters.py first seen with mtime 1585102509.3351138
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/sqlparse/filters/output.py first seen with mtime 1585102509.9191184
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/io.py first seen with mtime 1573123442.0
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/requests/structures.py first seen with mtime 1581874244.7168448
